Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003538	26032278	26122277	3D	HIST1H4A	8359	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003544	26037480	26127479	5D	HIST1H4B	8366	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_021062	26053885	26143884	5D	HIST1H2BB	3018	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003523	26084023	26174022	5D	HIST1H2BE	8344	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_138720	26058348	26148347	5D	HIST1H2BD	3017	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_021063	26058348	26148347	5D	HIST1H2BD	3017	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003539	26088937	26178936	3D	HIST1H4D	8360	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003522	26099786	26189785	5D	HIST1H2BF	8343	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003545	26104872	26194871	5D	HIST1H4E	8367	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003526	26113694	26121693	3P2	HIST1H2BC	8347	hsa05203
chr6	26116423	26116423	POL2_K562	26116330	26116579	NM_003542	26114565	26204564	3D	HIST1H4C	8364	hsa05203
chr6	170862335	170862335	POL2_K562	170862114	170862523	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862114	170862523	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862194	170862466	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862194	170862466	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862204	170862456	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862204	170862456	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862209	170862468	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862209	170862468	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862215	170862475	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862215	170862475	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862224	170862428	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862224	170862428	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862231	170862450	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862231	170862450	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862235	170862448	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05203
chr6	170862335	170862335	POL2_K562	170862235	170862448	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05203
