Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
