Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12995612	12995958	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12996073	12996319	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12997870	12998084	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00071
chr19	12995238	12998702	E2F6_K562B	12998300	12998570	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00071
