Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr3	99352911	99352911	chr3	99352840	99352989	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr3	196019679	196019679	chr3	196019540	196019689	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr5	134939123	134939123	chr5	134939020	134939169	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802360	137802509	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr5	170173509	170173509	chr5	170173420	170173569	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr9	4090723	4090723	chr9	4090600	4090749	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr10	5706021	5706021	chr10	5705980	5706129	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr11	87678531	87678531	chr11	87678460	87678609	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr12	7798835	7798835	chr12	7798820	7798969	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390560	49390709	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr16	19196303	19196303	chr16	19196240	19196389	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr19	4941455	4941455	chr19	4941320	4941469	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621920	49622069	HESC	HESC-DS10167.peaks.fdr0.01.hg19.bed
