Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr1	36789545	36789545	chr1	36789400	36789549	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927360	195927509	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927420	195927569	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr2	85514931	85514931	chr2	85514920	85515069	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr2	177146274	177146274	chr2	177146180	177146329	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr2	196196133	196196133	chr2	196196040	196196189	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr2	238635136	238635136	chr2	238635100	238635249	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352800	99352949	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352880	99353029	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465240	54465389	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr4	78151142	78151142	chr4	78151060	78151209	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422680	55422829	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805540	137805689	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190320	42190469	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr7	40876113	40876113	chr7	40875980	40876129	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009280	130009429	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467400	18467549	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr8	131954651	131954651	chr8	131954560	131954709	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr10	82282750	82282750	chr10	82282620	82282769	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794480	111794629	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr10	111794553	111794553	chr10	111794500	111794649	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr11	2933064	2933064	chr11	2933060	2933209	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr11	2933064	2933064	chr11	2933060	2933209	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290720	12290869	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290720	12290869	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr11	47907640	47907640	chr11	47907620	47907769	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735540	128735689	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735540	128735689	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr11	128737187	128737187	chr11	128737180	128737329	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr12	5327605	5327605	chr12	5327580	5327729	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299180	58299329	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr13	111365588	111365588	chr13	111365440	111365589	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250560	52250709	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250600	52250749	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr15	34647567	34647567	chr15	34647560	34647709	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925680	90925829	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925680	90925829	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr17	959514	959514	chr17	959420	959569	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr17	13956666	13956666	chr17	13956520	13956669	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr17	13956666	13956666	chr17	13956580	13956729	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr17	56472118	56472118	chr17	56471980	56472129	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr17	56472118	56472118	chr17	56472000	56472149	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr18	3656606	3656606	chr18	3656480	3656629	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872340	37872489	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872340	37872489	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr22	35917545	35917545	chr22	35917500	35917649	SAEC	SAEC-DS10514.peaks.fdr0.01.hg19.bed
chr22	35917545	35917545	chr22	35917520	35917669	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
chr22	38158740	38158740	chr22	38158680	38158829	SAEC	SAEC-DS10518.peaks.fdr0.01.hg19.bed
