Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727740	7727889	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680300	42680449	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145320	95145469	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr1	219947899	219947899	chr1	219947860	219948009	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr1	219947899	219947899	chr1	219947840	219947989	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr2	127472031	127472031	chr2	127471940	127472089	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224320	238224469	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526880	55527029	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr4	55526919	55526919	chr4	55526900	55527049	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634620	158634769	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr5	79237486	79237486	chr5	79237420	79237569	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802260	137802409	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802280	137802429	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr6	42164269	42164269	chr6	42164240	42164389	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr6	42164269	42164269	chr6	42164220	42164369	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr7	140538990	140538990	chr7	140538900	140539049	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr7	140538990	140538990	chr7	140538880	140539029	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr8	22849421	22849421	chr8	22849420	22849569	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr8	79045301	79045301	chr8	79045280	79045429	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr8	79045301	79045301	chr8	79045280	79045429	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr8	119017884	119017884	chr8	119017860	119018009	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr8	128377467	128377467	chr8	128377360	128377509	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr8	128377467	128377467	chr8	128377360	128377509	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr10	28347900	28347900	chr10	28347780	28347929	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr10	28347900	28347900	chr10	28347800	28347949	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119219040	119219189	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119219040	119219189	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr11	126795428	126795428	chr11	126795320	126795469	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr11	126795428	126795428	chr11	126795340	126795489	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr11	132713457	132713457	chr11	132713340	132713489	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr11	132713457	132713457	chr11	132713360	132713509	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	NHDF_AD	NHDF_Ad-DS12863.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	NHDF_AD	NHDF_Ad-DS12855.peaks.fdr0.01.hg19.bed
