Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680261	42680499	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr1	202075668	202075668	chr1	202075606	202075810	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr2	221063850	221063850	chr2	221063727	221063961	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr6	138409766	138409766	chr6	138409747	138409928	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr6	160625977	160625977	chr6	160625818	160626061	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr8	79108138	79108138	chr8	79108119	79108362	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr8	119356465	119356465	chr8	119356225	119356468	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr9	115983539	115983539	chr9	115983423	115983666	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299178	58299421	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr14	34155697	34155697	chr14	34155626	34155787	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr14	52250689	52250689	chr14	52250591	52250801	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr15	90925720	90925720	chr15	90925580	90925823	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr15	90964890	90964890	chr15	90964887	90965059	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr17	42754776	42754776	chr17	42754606	42754849	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr21	42818789	42818789	chr21	42818490	42818865	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chr22	18560569	18560569	chr22	18560430	18560673	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
chrX	134029986	134029986	chrX	134029932	134030175	CEBPB	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3CebpbIggrabAlnRep0_VS_wgEncodeSydhTfbsHelas3InputIggrabAlnRep1.narrowPeak
