Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CTCF_K562	12996322	12996558	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996322	12996558	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996322	12996558	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996322	12996558	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996346	12996530	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996346	12996530	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996346	12996530	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996346	12996530	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996416	12996514	NM_000159	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996416	12996514	NR_102316	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996416	12996514	NM_013976	12991942	12999941	5P2	GCDH	2639	hsa00380
chr19	12995238	12998702	CTCF_K562	12996416	12996514	NR_102317	12991942	12999941	5P2	GCDH	2639	hsa00380
