Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729776	128730078	NM_000220	128722429	128812428	5D	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729816	128730042	NM_153764	128710159	128737066	INTRON1	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729816	128730042	NM_153765	128710159	128736416	INTRON1	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729816	128730042	NM_153767	128720785	128736416	INTRON2	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729816	128730042	NM_153766	128720785	128737066	INTRON2	KCNJ1	3758	hsa04960
chr11	128729844	128729844	CTCF_K562	128729816	128730042	NM_000220	128722429	128812428	5D	KCNJ1	3758	hsa04960
