Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	7312171	7312171	chr1	7312051	7314932	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	22224101	22224101	chr1	22219910	22255259	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36786415	36790070	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	42680326	42680326	chr1	42678927	42681757	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113240590	113250936	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113240590	113250936	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	167635556	167635556	chr1	167634697	167637194	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	168090310	168090310	chr1	168089908	168091956	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	172324929	172324929	chr1	172324665	172330050	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	172353470	172353470	chr1	172351577	172354426	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	183241261	183241261	chr1	183236004	183252020	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202074162	202076250	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	204940971	204940971	chr1	204940664	204942560	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223956498	223961154	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	224972013	224972013	chr1	224971340	224973641	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr1	230238820	230238820	chr1	230236501	230244311	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	19013024	19013024	chr2	19010000	19016456	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	37865695	37865695	chr2	37861600	37900533	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	85514931	85514931	chr2	85514833	85516424	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102313009	102324032	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	128264245	128264245	chr2	128259331	128277850	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	144282077	144282077	chr2	144281009	144283732	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153569727	153576218	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159923803	159935567	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	165463019	165463019	chr2	165462371	165464291	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	168889269	168889269	chr2	168884924	168889849	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	169853632	169853632	chr2	169853436	169859575	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	225434444	225434444	chr2	225434306	225436937	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	238210048	238210048	chr2	238197499	238210508	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	238224334	238224334	chr2	238220263	238227048	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	238227918	238227918	chr2	238227060	238240731	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	238235081	238235081	chr2	238227060	238240731	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr2	238635136	238635136	chr2	238631754	238642874	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	4463007	4463007	chr3	4462062	4464083	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	19931169	19931169	chr3	19929694	19931885	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378946	44381624	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	99411163	99411163	chr3	99400069	99415990	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	99414478	99414478	chr3	99400069	99415990	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	124728625	124728625	chr3	124728458	124732709	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	134437954	134437954	chr3	134436643	134438715	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr3	188228689	188228689	chr3	188227621	188229123	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	57941159	57941159	chr4	57925592	57955153	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	57941699	57941699	chr4	57925592	57955153	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311493	88313545	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170014785	170014785	chr4	170013851	170027166	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170040859	170040859	chr4	170034475	170044918	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170052645	170052645	chr4	170044934	170060071	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170075170	170075170	chr4	170067574	170090778	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170075272	170075272	chr4	170067574	170090778	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170577775	170584215	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr4	186909595	186909595	chr4	186907829	186910930	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	34795980	34795980	chr5	34786973	34798056	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	64106917	64106917	chr5	64105678	64110118	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	70767268	70767268	chr5	70766422	70768345	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	92528308	92528308	chr5	92524522	92529138	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	103182240	103182240	chr5	103181997	103184293	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	106971567	106971567	chr5	106968165	106973463	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	118734730	118734730	chr5	118732512	118735854	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798842	137806965	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	137805651	137805651	chr5	137798842	137806965	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	137822865	137822865	chr5	137821886	137823223	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	141721244	141721244	chr5	141720914	141723641	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	153003763	153003763	chr5	153002476	153005021	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912682	167915932	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr5	178750376	178750376	chr5	178711344	178755283	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6712057	6714336	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr6	16332729	16332729	chr6	16331182	16341055	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr6	22322003	22322003	chr6	22320085	22322274	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102075	26105358	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
chr6	44421239	44421239	chr6	44418768	44421629	H3K27AC	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k27acStdAln.narrowPeak
