Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	112865945	112865945	chr1	112865945	112866288	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr3	12038263	12038263	chr3	12038052	12038264	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr3	37962689	37962689	chr3	37962552	37962771	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr3	52968725	52968725	chr3	52968717	52969060	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr5	159694356	159694356	chr5	159694185	159694528	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr7	69201394	69201394	chr7	69201322	69201665	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr8	441456	441456	chr8	441172	441515	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr8	18469350	18469350	chr8	18469182	18469525	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr9	36947126	36947126	chr9	36946922	36947265	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr10	29402288	29402288	chr10	29402227	29402505	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr10	31412935	31412935	chr10	31412887	31413230	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr14	36816367	36816367	chr14	36816159	36816502	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
chr14	90917191	90917191	chr14	90917010	90917353	GATA2	SHSY5Y	spp.optimal.wgEncodeSydhTfbsShsy5yGata2UcdAlnRep0_VS_wgEncodeSydhTfbsShsy5yInputUcdAln.narrowPeak
