Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	111692439	111692439	chr1	111690310	111693880	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr1	113190806	113190806	chr1	113189105	113199588	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr1	113242121	113242121	chr1	113240442	113247553	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr1	167944642	167944642	chr1	167943783	167945623	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr1	223960535	223960535	chr1	223956491	223964715	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr2	128239019	128239019	chr2	128237282	128241343	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153566716	153572243	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr2	238235081	238235081	chr2	238229918	238237856	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr3	99411163	99411163	chr3	99401733	99412011	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr3	124728625	124728625	chr3	124725977	124736718	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr3	172087897	172087897	chr3	172086710	172098079	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr4	6874516	6874516	chr4	6873036	6879363	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr4	57941699	57941699	chr4	57941650	57943466	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr4	141578252	141578252	chr4	141577131	141580946	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
chr4	170014785	170014785	chr4	170013309	170015617	H3K36ME3	NHA	wgEncodeBroadHistoneNhaH3k36me3StdAln.narrowPeak
