Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr5	137802403	137802403	chr5	137802340	137802491	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137803802	137806952	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804762	137806913	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804762	137806913	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	137805651	137805651	chr5	137804762	137806913	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	167913602	167913602	chr5	167913307	167913720	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr5	167913602	167913602	chr5	167913323	167913723	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr6	170862335	170862335	chr6	170862150	170862519	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr6	170862335	170862335	chr6	170862151	170862537	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr9	115983539	115983539	chr9	115983508	115983685	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr9	115983539	115983539	chr9	115983512	115983670	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr12	52908253	52908253	chr12	52906397	52908371	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr12	52908253	52908253	chr12	52906397	52908371	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr12	52908253	52908253	chr12	52906397	52908371	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr12	52908253	52908253	chr12	52906397	52908371	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr13	111365588	111365588	chr13	111365001	111365859	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr13	111365588	111365588	chr13	111365437	111365855	POL2	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesPol2Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
