Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr1	183188061	183188061	chr1	183188040	183188189	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927380	195927529	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927440	195927589	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr2	46078462	46078462	chr2	46078380	46078529	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr2	85514931	85514931	chr2	85514900	85515049	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr2	196196133	196196133	chr2	196196040	196196189	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr2	221043927	221043927	chr2	221043800	221043949	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr2	221043927	221043927	chr2	221043820	221043969	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr3	99307460	99307460	chr3	99307320	99307469	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352820	99352969	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465240	54465389	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr5	31989983	31989983	chr5	31989840	31989989	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805540	137805689	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822860	137823009	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190340	42190489	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr6	42190445	42190445	chr6	42190320	42190469	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr7	77044447	77044447	chr7	77044320	77044469	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
chr10	82282750	82282750	chr10	82282620	82282769	HEEPIC	HEEpiC-DS12763.peaks.fdr0.01.hg19.bed
chr10	82282750	82282750	chr10	82282640	82282789	HEEPIC	HEEpiC-DS12768.peaks.fdr0.01.hg19.bed
