Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727740	7727889	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727760	7727909	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145320	95145469	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr1	95145452	95145452	chr1	95145340	95145489	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr2	238224334	238224334	chr2	238224280	238224429	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462980	4463129	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388320	122388469	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr3	122388463	122388463	chr3	122388340	122388489	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589420	10589569	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196500	40196649	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196540	40196689	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941020	57941169	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909540	186909689	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr4	186909595	186909595	chr4	186909540	186909689	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041940	78042089	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr5	106426492	106426492	chr5	106426360	106426509	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802260	137802409	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805520	137805669	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822840	137822989	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
chr8	6487448	6487448	chr8	6487420	6487569	SKMC	SkMC-DS11939.peaks.fdr0.01.hg19.bed
chr8	33903458	33903458	chr8	33903420	33903569	SKMC	SkMC-DS11949.peaks.fdr0.01.hg19.bed
