Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315020	102315169	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102315040	102315189	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr2	128264245	128264245	chr2	128264160	128264309	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr2	128264245	128264245	chr2	128264120	128264269	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4463000	4463149	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr3	12391582	12391582	chr3	12391500	12391649	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196440	40196589	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr4	185674312	185674312	chr4	185674180	185674329	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr5	146193490	146193490	chr5	146193440	146193589	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr5	146193490	146193490	chr5	146193440	146193589	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr6	6712344	6712344	chr6	6712220	6712369	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr6	6712344	6712344	chr6	6712240	6712389	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr6	8855947	8855947	chr6	8855820	8855969	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140020	84140169	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862320	170862469	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr7	150130751	150130751	chr7	150130680	150130829	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr7	150130751	150130751	chr7	150130700	150130849	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr9	1958884	1958884	chr9	1958760	1958909	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr10	114715688	114715688	chr10	114715640	114715789	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr11	2715531	2715531	chr11	2715480	2715629	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr11	2715531	2715531	chr11	2715460	2715609	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390640	49390789	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299240	58299389	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr12	124418673	124418673	chr12	124418640	124418789	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr12	124418673	124418673	chr12	124418620	124418769	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr12	125354102	125354102	chr12	125354020	125354169	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr12	125354102	125354102	chr12	125354020	125354169	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250600	52250749	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr16	1495299	1495299	chr16	1495280	1495429	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr16	1495299	1495299	chr16	1495260	1495409	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519300	74519449	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr17	76560376	76560376	chr17	76560300	76560449	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr17	76560376	76560376	chr17	76560300	76560449	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr19	49621963	49621963	chr19	49621960	49622109	NB4	NB4-DS12543.peaks.fdr0.01.hg19.bed
chr22	18560569	18560569	chr22	18560560	18560709	NB4	NB4-DS12538.peaks.fdr0.01.hg19.bed
