Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785757	36790101	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246916	113250584	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312738	102318224	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930345	19931437	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378991	44381752	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310210	88313286	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579980	170582741	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798853	137804238	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913030	167914987	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738518	173739618	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103082	26105149	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139283	84141628	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136356987	136363656	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208850	160212911	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860686	170865027	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433320	26438879	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115982327	115985833	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340957	13342863	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890333	71893275	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708774	114716181	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159973	35162957	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47599098	47602291	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390649	49393888	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297121	50298544	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363641	111367801	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894818	90896289	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022144	57024719	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768237	57771360	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48271141	48279781	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846644	1848994	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4583985	4585435	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621130	49622579	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559618	18562356	H3K4ME3	HCM	wgEncodeUwHistoneHcmH3k4me3StdAln.narrowPeak
