Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727647	7727928	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454262	3454525	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359369	136359632	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390593	49390787	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299157	58299452	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959400	959562	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519233	74519465	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188623	48188886	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495665	495928	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr19	4941455	4941455	chr19	4941287	4941550	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539040	38539303	CTCF	HSMM	spp.optimal.wgEncodeBroadHistoneHsmmCtcfStdAlnRep0_VS_wgEncodeBroadHistoneHsmmControlStdAlnRep0.narrowPeak
