Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727550	7727966	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727646	7727893	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr1	7727853	7727853	chr1	7727691	7727870	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr3	12857492	12857492	chr3	12857181	12857560	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr3	12857492	12857492	chr3	12857254	12857493	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019483	196019682	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr3	196019679	196019679	chr3	196019488	196019727	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019541	196019696	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454309	3454478	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454275	3454514	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454322	3454477	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr6	130073290	130073290	chr6	130073096	130073316	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr9	4090723	4090723	chr9	4090580	4090735	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr11	128729844	128729844	chr11	128729804	128730058	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729832	128729993	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299076	58299569	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299170	58299443	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299190	58299416	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr15	90925720	90925720	chr15	90925659	90926038	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959329	959650	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959412	959550	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959469	959848	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr17	4316477	4316477	chr17	4316458	4316820	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519176	74519549	CTCF	HELAS3	spp.optimal.wgEncodeBroadHistoneHelas3CtcfStdAlnRep0_VS_wgEncodeBroadHistoneHelas3ControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519221	74519486	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519250	74519448	CTCF	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3CtcfAlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr18	48188791	48188791	chr18	48188620	48188859	CTCF	HELAS3	spp.optimal.wgEncodeUwTfbsHelas3CtcfStdAlnRep0_VS_wgEncodeUwTfbsHelas3InputStdAlnRep1.narrowPeak
