Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727503	7728188	NHEK	NHEKDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788065	36789607	NHEK	NHEKDukeDNaseSeq.pk
chr1	40426921	40426921	chr1	40426780	40426929	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr1	195927450	195927450	chr1	195927290	195927703	NHEK	NHEKDukeDNaseSeq.pk
chr1	202075668	202075668	chr1	202075540	202075689	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr1	209211967	209211967	chr1	209211840	209211989	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686224	230686561	NHEK	NHEKDukeDNaseSeq.pk
chr2	129124529	129124529	chr2	129124474	129124626	NHEK	NHEKDukeDNaseSeq.pk
chr2	196196133	196196133	chr2	196196040	196196189	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063670	221064147	NHEK	NHEKDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063800	221063949	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr2	238635136	238635136	chr2	238635060	238635209	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462899	4463160	NHEK	NHEKDukeDNaseSeq.pk
chr3	4463007	4463007	chr3	4462980	4463129	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57940774	57941336	NHEK	NHEKDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57941060	57941209	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr4	57941699	57941699	chr4	57941560	57941709	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr4	183677452	183677452	chr4	183677397	183677878	NHEK	NHEKDukeDNaseSeq.pk
chr5	70767268	70767268	chr5	70767120	70767269	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr5	134939123	134939123	chr5	134939040	134939189	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr5	137797379	137797379	chr5	137796926	137797440	NHEK	NHEKDukeDNaseSeq.pk
chr5	137802403	137802403	chr5	137802182	137802413	NHEK	NHEKDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913172	167913984	NHEK	NHEKDukeDNaseSeq.pk
chr6	138409766	138409766	chr6	138409494	138409820	NHEK	NHEKDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170861983	170862566	NHEK	NHEKDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862300	170862449	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr8	95316255	95316255	chr8	95315812	95316344	NHEK	NHEKDukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356338	119356474	NHEK	NHEKDukeDNaseSeq.pk
chr8	119356465	119356465	chr8	119356380	119356529	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr9	21674948	21674948	chr9	21674913	21675177	NHEK	NHEKDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983439	115984024	NHEK	NHEKDukeDNaseSeq.pk
chr10	13341377	13341377	chr10	13341253	13342307	NHEK	NHEKDukeDNaseSeq.pk
chr10	18407956	18407956	chr10	18407874	18407969	NHEK	NHEKDukeDNaseSeq.pk
chr10	29409191	29409191	chr10	29409162	29409582	NHEK	NHEKDukeDNaseSeq.pk
chr10	82282750	82282750	chr10	82282631	82282971	NHEK	NHEKDukeDNaseSeq.pk
chr10	111794553	111794553	chr10	111794520	111794669	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr11	2933064	2933064	chr11	2932536	2934828	NHEK	NHEKDukeDNaseSeq.pk
chr11	2933064	2933064	chr11	2933020	2933169	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr11	12290811	12290811	chr11	12290654	12291010	NHEK	NHEKDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600049	47600904	NHEK	NHEKDukeDNaseSeq.pk
chr11	128729844	128729844	chr11	128729584	128730109	NHEK	NHEKDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390574	49390852	NHEK	NHEKDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390660	49390809	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299090	58299512	NHEK	NHEKDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299220	58299369	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr12	125354102	125354102	chr12	125353496	125354156	NHEK	NHEKDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364594	111366185	NHEK	NHEKDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111365440	111365589	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155344	34155837	NHEK	NHEKDukeDNaseSeq.pk
chr14	50433110	50433110	chr14	50433000	50433149	NHEK	NHEK-DS11474.peaks.fdr0.01.hg19.bed
chr15	90895957	90895957	chr15	90895140	90896156	NHEK	NHEKDukeDNaseSeq.pk
chr15	90925720	90925720	chr15	90925634	90925727	NHEK	NHEKDukeDNaseSeq.pk
chr16	633353	633353	chr16	632706	633656	NHEK	NHEKDukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1480194	1481106	NHEK	NHEKDukeDNaseSeq.pk
