Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789225	36790524	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246977	113248483	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202074447	202075702	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312635	102316994	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378579	44381048	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88311638	88313371	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798915	137804144	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912899	167914228	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr5	170173509	170173509	chr5	170173286	170174311	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26103031	26104968	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139880	84141677	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160208592	160213001	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860535	170865052	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr8	26437075	26437075	chr8	26432623	26438288	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr9	115983539	115983539	chr9	115982494	115985578	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr10	13341377	13341377	chr10	13340962	13342434	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr10	114715688	114715688	chr10	114710016	114715805	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr11	2715531	2715531	chr11	2713517	2716201	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr11	9648720	9648720	chr11	9646772	9650488	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr11	35161075	35161075	chr11	35159955	35161621	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr11	47600437	47600437	chr11	47599137	47601920	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr13	111365588	111365588	chr13	111363620	111369237	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr16	57771125	57771125	chr16	57768258	57771521	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr17	36605489	36605489	chr17	36605297	36606638	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr19	1847697	1847697	chr19	1846300	1849253	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr19	2238666	2238666	chr19	2234925	2238713	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr19	49621963	49621963	chr19	49621338	49622648	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr20	31339331	31339331	chr20	31337319	31340836	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
chr22	18560569	18560569	chr22	18560119	18561841	H3K9AC	H1HESC	wgEncodeBroadHistoneH1hescH3k9acStdAln.narrowPeak
