Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	42680326	42680326	chr1	42680308	42680551	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr1	230686472	230686472	chr1	230686391	230686567	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01bStdAln.narrowPeak
chr1	230686472	230686472	chr1	230686376	230686619	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01StdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr1	230686472	230686472	chr1	230686355	230686598	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr1	230686472	230686472	chr1	230686394	230686546	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01cStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01cStdAln.narrowPeak
chr2	46078462	46078462	chr2	46078284	46078567	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr2	221063850	221063850	chr2	221063691	221063934	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01bStdAln.narrowPeak
chr2	221063850	221063850	chr2	221063791	221063861	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr4	185400747	185400747	chr4	185400744	185401017	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr8	119356465	119356465	chr8	119356131	119356552	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr10	29275718	29275718	chr10	29275330	29275756	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr14	34155697	34155697	chr14	34155568	34155817	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01cStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01cStdAln.narrowPeak
chr14	34155697	34155697	chr14	34155575	34155818	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01bStdAln.narrowPeak
chr14	34155697	34155697	chr14	34155674	34155778	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr15	53166185	53166185	chr15	53166123	53166272	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3TamStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputUcdAln.narrowPeak
chr17	56472118	56472118	chr17	56471956	56472199	STAT3	MCF10AES	spp.optimal.wgEncodeSydhTfbsMcf10aesStat3Etoh01bStdAlnRep0_VS_wgEncodeSydhTfbsMcf10aesInputEtoh01bStdAln.narrowPeak
