Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CMYC_K562	12995606	12995909	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12995628	12995927	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12995648	12995951	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_MCF7	12995669	12995878	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_MCF7	12995681	12995890	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12995676	12995945	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12995740	12995870	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12995746	12995869	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_MCF7	12996106	12996315	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_MCF7	12996131	12996260	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12996122	12996245	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12996119	12996252	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12996427	12996550	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12997053	12997332	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12997056	12997359	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12997153	12997276	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12997895	12998174	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
chr19	12995238	12998702	CMYC_K562	12998327	12998606	NM_004343	12949413	13039412	5D	CALR	811	hsa04612
