Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22224071	22226679	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	40426921	40426921	chr1	40422507	40427016	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	42680326	42680326	chr1	42677723	42681463	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	42693596	42693596	chr1	42692302	42695427	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	42702343	42702343	chr1	42700166	42702940	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	42737931	42737931	chr1	42733912	42743307	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	42757156	42757156	chr1	42757150	42769857	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	53515100	53515100	chr1	53513222	53515361	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	62677047	62677047	chr1	62660676	62680509	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	97198330	97198330	chr1	97188101	97204571	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	111692439	111692439	chr1	111685454	111696604	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	113190806	113190806	chr1	113185101	113216630	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	113242121	113242121	chr1	113228559	113247640	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	113248364	113248364	chr1	113248118	113248990	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	167944642	167944642	chr1	167942879	167946148	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	168062654	168062654	chr1	168062059	168070384	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	168090310	168090310	chr1	168089590	168094973	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	183184847	183184847	chr1	183184113	183186557	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	204924684	204924684	chr1	204924126	204930905	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	204940971	204940971	chr1	204935004	204941029	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	223960535	223960535	chr1	223956470	223965577	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	227772395	227772395	chr1	227769606	227776538	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr1	227805185	227805185	chr1	227801999	227807490	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	73278989	73278989	chr2	73278665	73287861	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	85514931	85514931	chr2	85513868	85515412	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	98424285	98424285	chr2	98423564	98432676	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	102315056	102315056	chr2	102314810	102324163	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	128239019	128239019	chr2	128236852	128256844	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	128264245	128264245	chr2	128256856	128266651	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	153572155	153572155	chr2	153551573	153572908	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	159926848	159926848	chr2	159926711	159927809	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	177163077	177163077	chr2	177161299	177164255	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	179198192	179198192	chr2	179197057	179202718	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	219497927	219497927	chr2	219497146	219506117	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr2	238635136	238635136	chr2	238628638	238639446	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	4444710	4444710	chr3	4442963	4447691	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	4486302	4486302	chr3	4485079	4495176	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	12857492	12857492	chr3	12854126	12863693	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	87290388	87290388	chr3	87289122	87292816	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	124728625	124728625	chr3	124710173	124750589	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	172087897	172087897	chr3	172076883	172099409	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	195516877	195516877	chr3	195515048	195518608	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
chr3	195517320	195517320	chr3	195515048	195518608	H3K36ME3B	NT2D1	wgEncodeSydhHistoneNt2d1H3k36me3bUcdAln.narrowPeak
