Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36786054	36790171	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246785	113250781	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312871	102318433	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571886	153576834	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378934	44381812	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310666	88313207	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170580057	170582747	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798922	137804654	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913066	167915076	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738492	173739333	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139124	84141479	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136358529	136362238	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208365	160213399	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860192	170865138	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433397	26438790	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981965	115985363	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340965	13342837	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114714985	114716024	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159819	35166225	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598923	47602200	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390482	49391386	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363636	111370308	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894794	90896383	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022262	57024922	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57768210	57771199	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48270861	48279990	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846466	1849227	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2238400	2241170	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621364	49623471	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18559607	18561889	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38144563	38145182	H3K4ME3	HBMEC	wgEncodeUwHistoneHbmecH3k4me3StdAln.narrowPeak
