Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	40426921	40426921	chr1	40422621	40427270	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	53515100	53515100	chr1	53510620	53520506	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	97198330	97198330	chr1	97188611	97204523	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	98056574	98056574	chr1	98053957	98061533	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	98060480	98060480	chr1	98053957	98061533	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	111692439	111692439	chr1	111689746	111696818	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	113190806	113190806	chr1	113186830	113216959	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	113242121	113242121	chr1	113228429	113247791	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	167944642	167944642	chr1	167942035	167948958	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr1	223960535	223960535	chr1	223956439	223969133	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	73278989	73278989	chr2	73278597	73280280	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	98424285	98424285	chr2	98423479	98433478	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	128239019	128239019	chr2	128236783	128263696	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153562255	153572493	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	162900888	162900888	chr2	162898440	162903462	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	168889269	168889269	chr2	168889168	168893498	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	172402536	172402536	chr2	172402029	172404840	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	219497927	219497927	chr2	219497707	219511412	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr2	238635136	238635136	chr2	238631888	238635307	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr3	36892716	36892716	chr3	36892097	36894084	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr3	99411163	99411163	chr3	99400047	99415973	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr3	99414478	99414478	chr3	99400047	99415973	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr3	124728625	124728625	chr3	124725912	124750788	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	5683661	5683661	chr4	5673927	5684025	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	6874516	6874516	chr4	6872459	6879641	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	16512435	16512435	chr4	16501996	16514063	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	53773370	53773370	chr4	53769761	53773848	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	57941159	57941159	chr4	57938247	57947543	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	57941699	57941699	chr4	57938247	57947543	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	141578252	141578252	chr4	141576247	141579605	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	148984320	148984320	chr4	148983540	148989260	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	170075170	170075170	chr4	170067320	170081792	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	170075272	170075272	chr4	170067320	170081792	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr4	177255406	177255406	chr4	177244818	177255801	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	1477230	1477230	chr5	1471976	1480024	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	33594777	33594777	chr5	33593983	33597617	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	34795980	34795980	chr5	34794498	34805782	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	64049913	64049913	chr5	64048140	64051027	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	64099768	64099768	chr5	64097069	64101485	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	70763058	70763058	chr5	70754055	70765301	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	70767268	70767268	chr5	70765866	70772659	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	137722821	137722821	chr5	137720986	137724224	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	137754694	137754694	chr5	137747993	137755292	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	137759009	137759009	chr5	137755547	137773554	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	137765758	137765758	chr5	137755547	137773554	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801597	137805475	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	178657016	178657016	chr5	178656595	178657855	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr5	178750376	178750376	chr5	178750140	178752967	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	20408918	20408918	chr6	20405911	20412908	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	26129947	26129947	chr6	26127582	26130603	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	31641385	31641385	chr6	31634141	31642239	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52428466	52440960	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	129845906	129845906	chr6	129842219	129846743	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
chr6	170847180	170847180	chr6	170840156	170859962	H3K36ME3	OSTEOBL	wgEncodeBroadHistoneOsteoblH3k36me3StdAln.narrowPeak
