Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727466	7728180	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr1	36789545	36789545	chr1	36788213	36789729	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr1	226654251	226654251	chr1	226654041	226654308	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr2	45113851	45113851	chr2	45113686	45113857	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr2	221063850	221063850	chr2	221063711	221063945	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr2	238224334	238224334	chr2	238223783	238224481	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr3	52968725	52968725	chr3	52968657	52968995	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr3	155755220	155755220	chr3	155755150	155755317	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr4	40196548	40196548	chr4	40196456	40196729	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr4	57941159	57941159	chr4	57940901	57941360	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr5	137805651	137805651	chr5	137805640	137806172	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr5	167913602	167913602	chr5	167913173	167913995	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr6	16332729	16332729	chr6	16332323	16332732	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr6	169357723	169357723	chr6	169356941	169357851	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr6	170862335	170862335	chr6	170862080	170862534	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr7	130009352	130009352	chr7	130009272	130009402	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr8	468608	468608	chr8	468533	468768	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr8	79045301	79045301	chr8	79045182	79045362	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr8	95316255	95316255	chr8	95315840	95316278	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr9	115983539	115983539	chr9	115983371	115984099	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr11	12290811	12290811	chr11	12290760	12290890	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr11	47600437	47600437	chr11	47600045	47600916	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr12	49390676	49390676	chr12	49390511	49390887	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr12	58299249	58299249	chr12	58299062	58299498	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr12	58705074	58705074	chr12	58704515	58705169	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr12	125354102	125354102	chr12	125353625	125354270	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr13	103374376	103374376	chr13	103374197	103374707	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr13	111365588	111365588	chr13	111364563	111366146	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr14	43463395	43463395	chr14	43463391	43463626	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr14	52250689	52250689	chr14	52250636	52250729	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr14	78305408	78305408	chr14	78305225	78305737	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr14	90917191	90917191	chr14	90917014	90917366	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr15	92656115	92656115	chr15	92655993	92656193	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr15	99498084	99498084	chr15	99497523	99498360	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr16	1481019	1481019	chr16	1480510	1481189	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr16	57771125	57771125	chr16	57770412	57771228	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr17	959514	959514	chr17	959072	959704	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr17	4316477	4316477	chr17	4316445	4316871	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr17	74519373	74519373	chr17	74519165	74519567	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr17	79026484	79026484	chr17	79025869	79026699	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr17	80757537	80757537	chr17	80757447	80757824	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr19	495721	495721	chr19	495718	495813	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr19	1847697	1847697	chr19	1847667	1847960	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr19	4585170	4585170	chr19	4584813	4585204	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr19	4769739	4769739	chr19	4769443	4769915	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr19	49621963	49621963	chr19	49621672	49622787	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
chr22	18560569	18560569	chr22	18560351	18561077	MELANOCYTE	MelanocyteDukeDNaseSeq.pk
