Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	170862335	170862335	YY1_K562	170862217	170862497	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_K562	170862217	170862497	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_GM12878	170862249	170862497	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_GM12878	170862249	170862497	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_GM12892	170862254	170862476	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_GM12892	170862254	170862476	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_K562	170862277	170862471	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_K562	170862277	170862471	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_K562B	170862304	170862376	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_K562B	170862304	170862376	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_NT2D1	170862329	170862410	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	YY1_NT2D1	170862329	170862410	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr12	49390676	49390676	YY1_K562	49390600	49390849	NM_003394	49375641	49465640	5D	WNT10B	7480	hsa05166
chr12	49390676	49390676	YY1_K562	49390600	49390849	NM_005430	49386396	49476395	3D	WNT1	7471	hsa05166
chr12	49390676	49390676	YY1_GM12892	49390608	49390851	NM_003394	49375641	49465640	5D	WNT10B	7480	hsa05166
chr12	49390676	49390676	YY1_GM12892	49390608	49390851	NM_005430	49386396	49476395	3D	WNT1	7471	hsa05166
chr12	49390676	49390676	YY1_GM12878	49390606	49390855	NM_003394	49375641	49465640	5D	WNT10B	7480	hsa05166
chr12	49390676	49390676	YY1_GM12878	49390606	49390855	NM_005430	49386396	49476395	3D	WNT1	7471	hsa05166
