Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr5	167913602	167913602	chr5	167913362	167913656	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr5	167913602	167913602	chr5	167913372	167913653	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
chr6	84140037	84140037	chr6	84140001	84140244	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862217	170862469	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862231	170862466	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr9	115983539	115983539	chr9	115983405	115983652	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983414	115983634	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr10	6276573	6276573	chr10	6276384	6276627	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
chr10	6276573	6276573	chr10	6276415	6276634	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr11	47600437	47600437	chr11	47600411	47600785	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr13	111365588	111365588	chr13	111365512	111365763	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr16	637211	637211	chr16	637204	637431	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr19	49621963	49621963	chr19	49621849	49622100	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xEtoh02AlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xEtoh02AlnRep2.narrowPeak
chr19	49621963	49621963	chr19	49621886	49622072	POL2	A549	spp.optimal.wgEncodeHaibTfbsA549Pol2Pcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549ControlPcr2xDexaAlnRep0.narrowPeak
