Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr1	89546802	89546802	NFKB_GM12878	89546683	89546992	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM12878	89546683	89546992	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM15510	89546673	89546948	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM15510	89546673	89546948	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM10847	89546692	89546975	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM10847	89546692	89546975	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM12878	89546683	89546992	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM12878	89546683	89546992	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM19099	89546694	89546977	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM19099	89546694	89546977	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM18951	89546693	89546968	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM18951	89546693	89546968	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM12891	89546695	89546994	NM_001008661	89468643	89558642	5D	CCBL2	56267	hsa00380
chr1	89546802	89546802	NFKB_GM12891	89546695	89546994	NM_001008662	89468643	89558642	5D	CCBL2	56267	hsa00380
chr6	160210060	160210060	NFKB_GM15510	160209878	160210153	NM_005891	160202087	160210086	3P2	ACAT2	39	hsa00380
chr17	74519373	74519373	NFKB_GM15510	74519231	74519506	NM_001166579	74476199	74566198	3D	AANAT	15	hsa00380
chr17	74519373	74519373	NFKB_GM15510	74519231	74519506	NM_001088	74476199	74566198	3D	AANAT	15	hsa00380
