Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727670	7727890	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359420	136359639	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr10	5706021	5706021	chr10	5705909	5706128	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729842	128730027	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390599	49390789	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299186	58299433	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959366	959585	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519247	74519450	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188635	48188854	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
chr21	38539118	38539118	chr21	38539069	38539288	CTCF	HRPE	spp.optimal.wgEncodeUwTfbsHrpeCtcfStdAlnRep1_VS_wgEncodeUwTfbsHrpeInputStdAlnRep1.narrowPeak
