Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12997056	12997331	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997467	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997078	12997512	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_PBDE	12997730	12998724	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	GATA1_K562B	12998331	12998606	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
