Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727649	7727906	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968721	52968939	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454255	3454544	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359371	136359660	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729825	128730013	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390589	49390787	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299168	58299455	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959398	959556	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519212	74519462	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495668	495957	CTCF	NHLF	spp.optimal.wgEncodeBroadHistoneNhlfCtcfStdAlnRep0_VS_wgEncodeBroadHistoneNhlfControlStdAlnRep0.narrowPeak
