Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	62677047	62677047	chr1	62672165	62677294	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr1	111692439	111692439	chr1	111691722	111693270	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr1	113242121	113242121	chr1	113241694	113243878	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153569963	153572481	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr2	219497927	219497927	chr2	219497912	219499688	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr3	12857492	12857492	chr3	12857126	12857957	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr3	195516877	195516877	chr3	195515376	195518405	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr3	195517320	195517320	chr3	195515376	195518405	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr4	5683661	5683661	chr4	5681721	5683749	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr4	6874516	6874516	chr4	6873935	6879707	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr5	1477230	1477230	chr5	1476058	1477913	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr5	70763058	70763058	chr5	70761561	70763875	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr5	115811219	115811219	chr5	115801887	115835126	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr5	137350477	137350477	chr5	137349195	137351043	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
chr5	137722821	137722821	chr5	137721184	137723529	H3K36ME3	H7ES	wgEncodeUwHistoneH7esH3k36me3StdAln.narrowPeak
