Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727666	7727932	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727678	7727897	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr3	44380487	44380487	chr3	44380296	44380515	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968707	52968946	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr3	196019679	196019679	chr3	196019478	196019717	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr3	196019679	196019679	chr3	196019513	196019683	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454224	3454463	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr11	128729844	128729844	chr11	128729771	128730010	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr12	49390676	49390676	chr12	49390581	49390820	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr12	49390676	49390676	chr12	49390638	49390786	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299148	58299424	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299172	58299405	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr16	1481019	1481019	chr16	1480908	1481127	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480896	1481135	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr17	959514	959514	chr17	959339	959578	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr17	959514	959514	chr17	959367	959557	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956618	13956857	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr17	74519373	74519373	chr17	74519235	74519489	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519261	74519484	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr18	48188791	48188791	chr18	48188620	48188859	RAD21	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Rad21IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr18	48188791	48188791	chr18	48188657	48188807	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr19	495721	495721	chr19	495714	495933	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539059	38539278	RAD21	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Rad21V0416101AlnRep0_VS_wgEncodeHaibTfbsHepg2ControlV0416101AlnRep0.narrowPeak
