Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr5	137805651	137805651	chr5	137804937	137806462	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	137805651	137805651	chr5	137804937	137806462	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	137805651	137805651	chr5	137804937	137806462	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	137805651	137805651	chr5	137804937	137806462	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	137805651	137805651	chr5	137805337	137806048	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2ForsklnStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputForsklnStdAlnRep0.narrowPeak
chr5	137805651	137805651	chr5	137805337	137806048	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2ForsklnStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputForsklnStdAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913374	167913689	POL2	HEPG2	spp.optimal.wgEncodeOpenChromChipHepg2Pol2AlnRep0_VS_wgEncodeOpenChromChipHepg2InputAln.narrowPeak
chr5	167913602	167913602	chr5	167913381	167913652	POL2	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913394	167913636	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr5	167913602	167913602	chr5	167913401	167913636	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2PravastStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862185	170862500	POL2	HEPG2	spp.optimal.wgEncodeOpenChromChipHepg2Pol2AlnRep0_VS_wgEncodeOpenChromChipHepg2InputAln.narrowPeak
chr6	170862335	170862335	chr6	170862191	170862477	POL2	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862193	170862479	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr6	170862335	170862335	chr6	170862229	170862464	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2PravastStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputPravastStdAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862232	170862455	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2ForsklnStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputForsklnStdAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983353	115983616	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
chr9	115983539	115983539	chr9	115983406	115983621	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2ForsklnStdAlnRep0_VS_wgEncodeSydhTfbsHepg2InputForsklnStdAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983426	115983629	POL2	HEPG2	spp.optimal.wgEncodeHaibTfbsHepg2Pol2Pcr2xAlnRep0_VS_wgEncodeHaibTfbsHepg2ControlPcr2xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365478	111365804	POL2	HEPG2	spp.optimal.wgEncodeSydhTfbsHepg2Pol2IggrabAlnRep0_VS_wgEncodeSydhTfbsHepg2InputIggrabAln.narrowPeak
