Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22222585	22229765	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	36789545	36789545	chr1	36789187	36790691	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	42680326	42680326	chr1	42679762	42681023	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	42693596	42693596	chr1	42691283	42693751	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	113056989	113056989	chr1	113056203	113059340	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	113242121	113242121	chr1	113241196	113248997	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	113248364	113248364	chr1	113241196	113248997	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	168090310	168090310	chr1	168090040	168091886	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	172353470	172353470	chr1	172351925	172353852	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	183188061	183188061	chr1	183186575	183188716	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	183241261	183241261	chr1	183239179	183243221	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	223960535	223960535	chr1	223957158	223961120	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	224972013	224972013	chr1	224970459	224973663	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr1	230238820	230238820	chr1	230236500	230242633	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr2	19013024	19013024	chr2	19010029	19014097	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr2	73329871	73329871	chr2	73328729	73330951	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
chr2	128264245	128264245	chr2	128263848	128266388	H3K4ME1	NHLF	wgEncodeBroadHistoneNhlfH3k4me1StdAln.narrowPeak
