Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995688	12995927	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12995904	12996224	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa03420
chr19	12995238	12998702	POL2_PBDE	12997602	12998287	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa03420
