Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22223058	22224455	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	31170236	31170236	chr1	31169469	31172047	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36785243	36791082	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	40426921	40426921	chr1	40425253	40426955	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113240326	113245956	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113246012	113251372	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202072763	202077902	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312493	102318339	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr2	129124334	129124334	chr2	129123969	129128998	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr2	129124529	129124529	chr2	129123969	129128998	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr2	233398214	233398214	chr2	233397902	233400017	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378392	44381756	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr3	58165232	58165232	chr3	58162497	58166013	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr4	7529366	7529366	chr4	7529071	7530323	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr4	7530450	7530450	chr4	7530365	7535630	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88310413	88313771	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798910	137803107	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912686	167914765	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr5	170173509	170173509	chr5	170170936	170175514	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr5	173738576	173738576	chr5	173738367	173739873	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26102875	26104056	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr6	31107086	31107086	chr6	31105392	31108110	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160208638	160214190	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170860162	170865197	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
chr7	5530781	5530781	chr7	5530634	5532275	H3K9AC	NT2D1	wgEncodeSydhHistoneNt2d1H3k9acStdAln.narrowPeak
