Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	170862335	170862335	GABP_HEPG2	170862244	170862553	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_HEPG2	170862244	170862553	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_K562	170862240	170862536	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_K562	170862240	170862536	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_H1HESC	170862255	170862510	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_H1HESC	170862255	170862510	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_GM12878	170862307	170862435	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_GM12878	170862307	170862435	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_HELAS3	170862333	170862485	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	GABP_HELAS3	170862333	170862485	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr11	47600437	47600437	GABP_K562	47600355	47600756	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	GABP_GM12878	47600398	47600720	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	GABP_HEPG2	47600384	47600733	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	GABP_HELAS3	47600373	47600723	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	GABP_H1HESC	47600417	47600703	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
