Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785731	36790109	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246577	113251138	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr1	202075668	202075668	chr1	202074516	202076374	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr1	223960535	223960535	chr1	223958733	223960556	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312983	102316346	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571675	153577101	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378683	44381786	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310292	88313542	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579669	170582881	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798904	137804360	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912757	167915247	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103132	26105326	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138980	84142388	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr6	138409766	138409766	chr6	138408483	138410522	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208402	160213466	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860324	170865228	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981822	115985924	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340984	13343150	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890459	71894025	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708658	114720095	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr11	2933064	2933064	chr11	2932326	2934907	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159585	35167890	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598987	47602496	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr11	69526787	69526787	chr11	69526039	69528963	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229411	118231797	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr12	58705074	58705074	chr12	58704479	58705441	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363420	111370175	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894769	90896603	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57022572	57024823	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57767771	57771400	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr17	73871466	73871466	chr17	73871225	73875765	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr17	74519373	74519373	chr17	74518864	74519760	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr18	3653421	3653421	chr18	3652619	3654560	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1846383	1849470	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234554	2239177	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr19	4585170	4585170	chr19	4583783	4585514	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621071	49624142	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18558889	18562642	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38138412	38149390	H3K4ME3	HCT116	wgEncodeUwHistoneHct116H3k4me3StdAln.narrowPeak
