Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785754	36790166	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246373	113250676	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312777	102318224	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153572118	153577152	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930038	19931678	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378741	44384077	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr4	40196548	40196548	chr4	40196047	40196814	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88309364	88313371	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579578	170583459	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798987	137804077	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309563	149310535	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167913028	167915034	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738428	173739510	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103054	26105166	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138977	84141613	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136358590	136361788	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160208310	160213299	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170859999	170865172	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr7	77044447	77044447	chr7	77044397	77046553	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433039	26440686	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr8	60179085	60179085	chr8	60178990	60179771	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981656	115988144	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340845	13342754	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708626	114716959	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr11	2715531	2715531	chr11	2715084	2722459	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159665	35167679	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598715	47602340	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229521	118231618	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390439	49391361	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50296962	50298602	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363543	111371121	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894832	90896395	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57021729	57025225	H3K4ME3	HVMF	wgEncodeUwHistoneHvmfH3k4me3StdAln.narrowPeak
