Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	ZBTB7ASC34508_K562	12996334	12996543	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12996334	12996543	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12996334	12996543	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12996334	12996543	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12996334	12996543	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997000	12997209	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997000	12997209	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997000	12997209	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997000	12997209	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997000	12997209	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997583	12997792	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997583	12997792	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997583	12997792	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997583	12997792	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12997583	12997792	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12998348	12998557	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12998348	12998557	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12998348	12998557	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12998348	12998557	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	ZBTB7ASC34508_K562	12998348	12998557	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
