Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36788114	36790406	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246816	113250665	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr1	147138894	147138894	chr1	147136416	147143320	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr2	85514931	85514931	chr2	85514818	85516660	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312576	102317782	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571675	153577284	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930226	19931544	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378877	44382357	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr4	40196548	40196548	chr4	40195976	40196927	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88310748	88313253	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579916	170584392	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr4	186909595	186909595	chr4	186908870	186909747	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798901	137804679	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912911	167915182	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738537	173739359	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr6	16332729	16332729	chr6	16332025	16333032	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26102928	26105284	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr6	46457835	46457835	chr6	46457519	46460361	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84139114	84141503	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136358081	136363531	H3K4ME3	HRPE	wgEncodeUwHistoneHrpeH3k4me3StdAln.narrowPeak
