Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	170862335	170862335	POL2_PBDE	170862084	170862524	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_K562	170862114	170862523	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_H1HESC	170862147	170862498	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_MCF10AES	170862150	170862519	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_MCF10AES	170862151	170862537	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_A549	170862217	170862469	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HELAS3	170862176	170862506	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HEPG2	170862185	170862500	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_GM18951	170862193	170862464	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HEPG2	170862191	170862477	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HCT116	170862190	170862479	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_K562	170862194	170862466	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HEPG2	170862193	170862479	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_GM19193	170862197	170862482	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_RAJI	170862194	170862498	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_GM12892	170862205	170862474	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_K562	170862204	170862456	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HELAS3	170862205	170862514	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_GM12892	170862205	170862474	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_HELAS3	170862211	170862504	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
chr6	170862335	170862335	POL2_K562	170862209	170862468	NM_002793	170862217	170862416	EXON6	PSMB1	5689	hsa03050
