Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	202075668	202075668	chr1	202075520	202075669	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075520	202075669	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr2	196196133	196196133	chr2	196196000	196196149	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968680	52968829	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr3	70313557	70313557	chr3	70313540	70313689	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr5	58562464	58562464	chr5	58562380	58562529	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805520	137805669	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr5	173738576	173738576	chr5	173738520	173738669	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84140000	84140149	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr6	100595642	100595642	chr6	100595580	100595729	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr6	138409766	138409766	chr6	138409680	138409829	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr6	160210060	160210060	chr6	160209940	160210089	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862280	170862429	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009280	130009429	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr9	105603759	105603759	chr9	105603740	105603889	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr11	69352136	69352136	chr11	69352120	69352269	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299220	58299369	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr14	21213860	21213860	chr14	21213780	21213929	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr17	73819524	73819524	chr17	73819440	73819589	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495700	495849	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr20	48407126	48407126	chr20	48406980	48407129	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr20	60379459	60379459	chr20	60379240	60379529	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
chr21	42694666	42694666	chr21	42694660	42694809	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr21	42818789	42818789	chr21	42818700	42818849	CACO2	CACO2-DS8416.peaks.fdr0.01.hg19.bed
chr21	42818789	42818789	chr21	42818680	42818829	CACO2	CACO2-DS8235.peaks.fdr0.01.hg19.bed
