Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36785808	36790063	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr1	113248364	113248364	chr1	113246561	113250823	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr2	102315056	102315056	chr2	102312717	102319809	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr2	153572155	153572155	chr2	153571636	153577505	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr3	19931169	19931169	chr3	19930089	19931549	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr3	44380487	44380487	chr3	44378785	44381848	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr3	155743406	155743406	chr3	155742700	155743424	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr3	176657461	176657461	chr3	176656995	176657896	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr4	88313178	88313178	chr4	88308785	88313709	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr4	170580817	170580817	chr4	170579846	170583491	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137798917	137804749	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr5	149310446	149310446	chr5	149309416	149310571	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr5	167913602	167913602	chr5	167912851	167915231	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr5	173738576	173738576	chr5	173738498	173739725	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	26103176	26103176	chr6	26103080	26105203	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	52436647	52436647	chr6	52434207	52443181	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	84140037	84140037	chr6	84138893	84141764	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	130071840	130071840	chr6	130070039	130071852	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	136359445	136359445	chr6	136357139	136362933	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	160210060	160210060	chr6	160207096	160214232	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr6	170862335	170862335	chr6	170860111	170865367	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr8	26437075	26437075	chr8	26433222	26438788	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr8	119017884	119017884	chr8	119016310	119018199	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr9	115983539	115983539	chr9	115981423	115986552	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr10	13341377	13341377	chr10	13340847	13342846	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr10	71890629	71890629	chr10	71890303	71893365	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr10	114715688	114715688	chr10	114708603	114716948	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr11	35161075	35161075	chr11	35159642	35167520	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr11	47600437	47600437	chr11	47598451	47602473	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr11	118231583	118231583	chr11	118229682	118231751	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr12	49390676	49390676	chr12	49390473	49391336	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr12	50298534	50298534	chr12	50297045	50298661	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr13	111365588	111365588	chr13	111363389	111371017	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr15	90895957	90895957	chr15	90894721	90896409	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr16	671681	671681	chr16	671655	672995	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr16	57024661	57024661	chr16	57021986	57025143	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr16	57771125	57771125	chr16	57767957	57771422	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48271010	48282244	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr19	1847697	1847697	chr19	1845813	1849288	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr19	2238666	2238666	chr19	2234066	2241843	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr19	22193985	22193985	chr19	22192558	22194051	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr19	49621963	49621963	chr19	49621291	49623477	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr19	53634926	53634926	chr19	53634924	53636721	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr22	18560569	18560569	chr22	18558875	18562912	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
chr22	38144617	38144617	chr22	38140274	38146731	H3K4ME3	HMF	wgEncodeUwHistoneHmfH3k4me3StdAln.narrowPeak
