Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	202075668	202075668	chr1	202075435	202075884	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr2	102315056	102315056	chr2	102314769	102315218	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr2	221063850	221063850	chr2	221063735	221064184	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862159	170862608	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983482	115983931	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr9	129601001	129601001	chr9	129600655	129601104	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600155	47600449	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600271	47600720	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299030	58299479	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480913	1481093	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr16	1481019	1481019	chr16	1480966	1481415	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr19	1847697	1847697	chr19	1847573	1848022	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560510	18560959	HAE2F1	MCF7	spp.optimal.wgEncodeSydhTfbsMcf7Hae2f1UcdAlnRep0_VS_wgEncodeSydhTfbsMcf7InputUcdAlnRep0.narrowPeak
