Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr2	162900888	162900888	chr2	162900706	162901644	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr3	124728625	124728625	chr3	124728516	124732889	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr5	1477230	1477230	chr5	1476141	1477851	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr5	137802403	137802403	chr5	137801321	137804541	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr8	22108610	22108610	chr8	22107363	22110270	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr9	124092354	124092354	chr9	124089509	124092626	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr10	6276573	6276573	chr10	6273190	6276977	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr10	82273078	82273078	chr10	82270515	82275351	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr11	8939886	8939886	chr11	8939795	8941084	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr11	12018219	12018219	chr11	12017668	12020061	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr12	6340387	6340387	chr12	6339781	6343678	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr12	49422093	49422093	chr12	49421370	49423183	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr13	21986319	21986319	chr13	21985989	21986512	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr13	30107284	30107284	chr13	30106165	30108062	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr13	111286591	111286591	chr13	111286237	111288318	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr14	77930406	77930406	chr14	77929945	77931619	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr14	77931230	77931230	chr14	77929945	77931619	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr16	4864178	4864178	chr16	4864121	4865492	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr16	4923090	4923090	chr16	4922607	4926102	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr16	4930099	4930099	chr16	4929300	4932300	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr17	48273154	48273154	chr17	48271076	48276465	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr17	73819524	73819524	chr17	73817466	73820558	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr19	44162953	44162953	chr19	44161536	44164000	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr20	31439208	31439208	chr20	31438492	31440362	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr21	35275240	35275240	chr21	35273654	35275801	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
chr22	38158740	38158740	chr22	38158099	38159571	H3K36ME3	HRE	wgEncodeUwHistoneHreH3k36me3StdAln.narrowPeak
