Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001136129	27462388	27542880	INTRON14	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001136130	27462388	27542880	INTRON16	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_201414	27484463	27542880	INTRON15	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_201413	27484463	27542880	INTRON16	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001136131	27484463	27543301	INTRON15	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001204301	27484463	27542880	INTRON16	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_000484	27484463	27542880	INTRON17	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001204302	27484463	27542880	INTRON15	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001204303	27484463	27542880	INTRON14	APP	351	hsa04726
chr21	27520110	27520110	GATA3SC268_T47D	27519926	27520185	NM_001136016	27514708	27522707	5P2	APP	351	hsa04726
