Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr19	12995238	12998702	CTCFSC5916_T47D	12996364	12996579	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCFSC5916_T47D	12996364	12996579	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_T47D	12996364	12996579	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_T47D	12996364	12996579	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_T47D	12996364	12996579	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_H1HESC	12996438	12996492	NM_004343	12949413	13039412	5D	CALR	811	hsa04141
chr19	12995238	12998702	CTCFSC5916_H1HESC	12996438	12996492	NM_001270363	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_H1HESC	12996438	12996492	NM_005053	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_H1HESC	12996438	12996492	NM_001270362	12956627	13046626	5D	RAD23A	5886	hsa04141
chr19	12995238	12998702	CTCFSC5916_H1HESC	12996438	12996492	NR_072976	12956627	13046626	5D	RAD23A	5886	hsa04141
