Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727615	7727943	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr3	52968725	52968725	chr3	52968722	52968957	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454303	3454474	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr5	64106917	64106917	chr5	64106909	64107178	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr6	136359445	136359445	chr6	136359387	136359656	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729799	128730077	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390557	49390824	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299156	58299458	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959361	959586	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519205	74519494	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr18	48188791	48188791	chr18	48188606	48188875	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495701	495942	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
chr19	4941455	4941455	chr19	4941293	4941562	CTCF	HBMEC	spp.optimal.wgEncodeUwTfbsHbmecCtcfStdAlnRep0_VS_wgEncodeUwTfbsHbmecInputStdAlnRep1.narrowPeak
