Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727760	7727909	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr1	167944642	167944642	chr1	167944620	167944769	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291440	158291589	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr2	158291538	158291538	chr2	158291440	158291589	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063760	221063909	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063800	221063949	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352840	99352989	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr4	10589552	10589552	chr4	10589420	10589569	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196500	40196649	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr4	40196548	40196548	chr4	40196520	40196669	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr4	52938242	52938242	chr4	52938100	52938249	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr4	54465286	54465286	chr4	54465260	54465409	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr4	158634768	158634768	chr4	158634620	158634769	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr5	60936295	60936295	chr5	60936240	60936389	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767140	70767289	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767160	70767309	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr5	78041975	78041975	chr5	78041920	78042069	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr5	118734730	118734730	chr5	118734720	118734869	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805620	137805769	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr5	178657016	178657016	chr5	178656940	178657089	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr7	25426043	25426043	chr7	25426020	25426169	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr8	18469350	18469350	chr8	18469240	18469389	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr8	42505465	42505465	chr8	42505420	42505569	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr8	59962803	59962803	chr8	59962660	59962809	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356320	119356469	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr9	4090723	4090723	chr9	4090700	4090849	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199320	14199469	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr9	14199421	14199421	chr9	14199320	14199469	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr9	15127942	15127942	chr9	15127840	15127989	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
chr9	15127942	15127942	chr9	15127940	15128089	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402160	29402309	HRPEPIC	HRPEpiC-DS12583.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402220	29402369	HRPEPIC	HRPEpiC-DS12568.peaks.fdr0.01.hg19.bed
