Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr5	137802403	137802403	POL2_K562	137801037	137802478	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_K562	137801037	137802478	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_K562	137801037	137802478	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_K562	137801037	137802483	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137802403	137802403	POL2_K562	137802263	137802433	NM_001964	137801757	137802444	INTRON1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_K562	137804918	137805931	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_K562	137804918	137805931	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_K562	137804968	137806094	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr5	137805651	137805651	POL2_K562	137804968	137806094	NM_001964	137805004	137807003	3P1	EGR1	1958	hsa05166
chr6	170862335	170862335	POL2_K562	170862114	170862523	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862114	170862523	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862194	170862466	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862194	170862466	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862204	170862456	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862204	170862456	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862209	170862468	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862209	170862468	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862215	170862475	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862215	170862475	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862224	170862428	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862224	170862428	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862231	170862450	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862231	170862450	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862235	170862448	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05166
chr6	170862335	170862335	POL2_K562	170862235	170862448	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05166
