Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	172673321	172673321	chr1	172673220	172673369	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686380	230686529	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314980	102315129	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462900	4463049	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr4	185400747	185400747	chr4	185400680	185400829	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr6	91098429	91098429	chr6	91098320	91098469	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr6	170862335	170862335	chr6	170862240	170862389	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729820	128729969	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr17	4316477	4316477	chr17	4316360	4316509	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519280	74519429	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr19	495721	495721	chr19	495720	495869	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chr21	38539118	38539118	chr21	38539020	38539169	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
chrX	41212320	41212320	chrX	41212280	41212429	HTH1	hTH1-DS7840.peaks.fdr0.01.hg19.bed
