Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	95145452	95145452	chr1	95145231	95145500	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr5	58562464	58562464	chr5	58562320	58562589	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr5	58583212	58583212	chr5	58583194	58583463	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr6	138409766	138409766	chr6	138409572	138409841	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	22849421	22849421	chr8	22849335	22849604	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	38588312	38588312	chr8	38588229	38588398	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	38588312	38588312	chr8	38588185	38588440	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	38588312	38588312	chr8	38588194	38588443	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr2xEtoh02AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356288	119356488	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356278	119356533	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356285	119356524	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexdAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr8	119356465	119356465	chr8	119356291	119356540	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr2xEtoh02AlnRep0.narrowPeak
chr10	29409191	29409191	chr10	29409187	29409456	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr13	95929887	95929887	chr13	95929863	95930105	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr13	95929887	95929887	chr13	95929832	95930087	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr15	90964890	90964890	chr15	90964797	90965066	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr17	13956666	13956666	chr17	13956640	13956729	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046313	41046485	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046278	41046533	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr17	41046439	41046439	chr17	41046292	41046541	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr2xEtoh02AlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406937	48407176	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexdAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406900	48407179	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexbAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406954	48407140	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr1xDexcAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr1xEtoh02AlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406941	48407166	GR	A549	spp.optimal.wgEncodeHaibTfbsA549GrPcr2xDexaAlnRep0_VS_wgEncodeHaibTfbsA549GrPcr2xEtoh02AlnRep0.narrowPeak
