Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727565	7728011	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr3	52968725	52968725	chr3	52968633	52969067	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454253	3454505	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr5	64106917	64106917	chr5	64106840	64107220	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr6	16332729	16332729	chr6	16332284	16332769	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130072975	130073393	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr6	136359445	136359445	chr6	136359443	136359626	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr7	116879223	116879223	chr7	116879177	116879532	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr10	5705899	5705899	chr10	5705840	5706195	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr10	5706021	5706021	chr10	5705840	5706195	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729740	128730137	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390521	49390842	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299025	58299592	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959270	959645	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519150	74519546	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188559	48188914	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
chr19	495721	495721	chr19	495660	495964	CTCF	OSTEOBL	spp.optimal.wgEncodeBroadHistoneOsteoblCtcfStdAlnRep0_VS_wgEncodeBroadHistoneOsteoblControlStdAlnRep0.narrowPeak
