Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727659	7727880	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr1	7727853	7727853	chr1	7727655	7727884	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr1	7727853	7727853	chr1	7727678	7727865	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr3	196019679	196019679	chr3	196019443	196019762	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr3	196019679	196019679	chr3	196019494	196019723	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr3	196019679	196019679	chr3	196019508	196019707	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr4	3454453	3454453	chr4	3454224	3454543	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr4	3454453	3454453	chr4	3454252	3454481	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr4	3454453	3454453	chr4	3454309	3454508	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr5	64106917	64106917	chr5	64106897	64107216	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073022	130073341	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr6	130073290	130073290	chr6	130073069	130073298	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729834	128730033	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr11	128729844	128729844	chr11	128729824	128730033	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr11	128729844	128729844	chr11	128729840	128730015	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr12	49390676	49390676	chr12	49390626	49390772	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr12	49390676	49390676	chr12	49390607	49390797	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr12	49390676	49390676	chr12	49390629	49390782	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr12	58299249	58299249	chr12	58299162	58299453	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr12	58299249	58299249	chr12	58299180	58299442	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr12	58299249	58299249	chr12	58299191	58299420	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr17	959514	959514	chr17	959304	959623	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr17	959514	959514	chr17	959368	959597	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr17	959514	959514	chr17	959376	959575	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr17	74519373	74519373	chr17	74519218	74519472	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519233	74519482	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr17	74519373	74519373	chr17	74519258	74519449	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr18	48188791	48188791	chr18	48188591	48188910	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr18	48188791	48188791	chr18	48188604	48188833	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
chr19	495721	495721	chr19	495662	495981	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr19	4941455	4941455	chr19	4941325	4941524	CTCF	GM12878	spp.optimal.wgEncodeOpenChromChipGm12878CtcfAlnRep0_VS_wgEncodeOpenChromChipGm12878InputAln.narrowPeak
chr21	38539118	38539118	chr21	38539048	38539367	CTCF	GM12878	spp.optimal.wgEncodeBroadHistoneGm12878CtcfStdAlnRep0_VS_wgEncodeBroadHistoneGm12878ControlStdAlnRep0.narrowPeak
chr21	38539118	38539118	chr21	38539081	38539310	CTCF	GM12878	spp.optimal.wgEncodeUwTfbsGm12878CtcfStdAlnRep0_VS_wgEncodeUwTfbsGm12878InputStdAlnRep1.narrowPeak
