Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	7727853	7727853	chr1	7727720	7727869	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr1	7727853	7727853	chr1	7727720	7727869	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr2	221063850	221063850	chr2	221063740	221063889	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr2	230039816	230039816	chr2	230039680	230039829	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr2	238235081	238235081	chr2	238234940	238235149	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462960	4463109	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr3	52968725	52968725	chr3	52968700	52968849	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr5	106426492	106426492	chr5	106426360	106426509	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr5	106426492	106426492	chr5	106426380	106426529	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805620	137805769	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822780	137822929	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822820	137822969	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139960	84140109	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009340	130009489	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr8	22849421	22849421	chr8	22849420	22849569	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr8	26437075	26437075	chr8	26436980	26437129	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr8	79045301	79045301	chr8	79045160	79045309	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr11	119219123	119219123	chr11	119219040	119219189	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299180	58299329	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983520	124983669	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr12	124983615	124983615	chr12	124983520	124983669	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374340	103374489	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374340	103374489	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155560	34155709	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463300	43463449	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr14	43463395	43463395	chr14	43463320	43463469	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250580	52250729	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922240	59922389	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr14	59922319	59922319	chr14	59922260	59922409	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925600	90925749	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr15	90925720	90925720	chr15	90925640	90925789	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr17	42754776	42754776	chr17	42754640	42754789	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519260	74519409	HGF	HGF-DS11738.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HGF	HGF-DS11752.peaks.fdr0.01.hg19.bed
