Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	184002331	184002331	chr1	184002240	184002535	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr1	207631204	207631204	chr1	207631128	207631423	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr3	4463007	4463007	chr3	4462894	4463189	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr5	149310446	149310446	chr5	149310421	149310716	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr6	170862335	170862335	chr6	170862085	170862380	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600392	47600687	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr17	74519373	74519373	chr17	74519215	74519510	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr19	4769739	4769739	chr19	4769549	4769844	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr20	48407126	48407126	chr20	48406935	48407230	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
chr22	38158740	38158740	chr22	38158578	38158873	EJUND	K562	spp.optimal.wgEncodeUchicagoTfbsK562EjundControlAlnRep0_VS_wgEncodeUchicagoTfbsK562InputControlAlnRep0.narrowPeak
