Searched for chr	interval low	interval high	histone node chrom name	node Low	node high	node Histone Name	node CellLineName	node FileName
chr1	22224101	22224101	chr1	22222434	22225377	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	31387329	31387329	chr1	31385979	31388062	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	36789545	36789545	chr1	36788344	36790795	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	113242121	113242121	chr1	113238639	113251377	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	113248364	113248364	chr1	113238639	113251377	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	184002331	184002331	chr1	183996140	184003646	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	202075668	202075668	chr1	202074381	202076396	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	223960535	223960535	chr1	223956458	223961263	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr1	233771246	233771246	chr1	233769755	233773687	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr2	17306652	17306652	chr2	17302665	17308378	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr2	102315056	102315056	chr2	102312665	102317035	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr2	153572155	153572155	chr2	153571522	153577463	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr2	159926848	159926848	chr2	159925538	159927723	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr2	196196133	196196133	chr2	196194529	196196943	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr3	17774943	17774943	chr3	17774248	17775701	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr3	44380487	44380487	chr3	44378621	44381206	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr3	87854276	87854276	chr3	87853368	87857849	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr4	40196548	40196548	chr4	40193938	40204623	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr4	88313178	88313178	chr4	88310071	88313702	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr4	170580817	170580817	chr4	170578703	170585633	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	10318454	10318454	chr5	10317479	10320688	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	90036088	90036088	chr5	90035348	90037259	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	95033840	95033840	chr5	95033799	95034675	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	137802403	137802403	chr5	137798669	137804521	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	141721244	141721244	chr5	141720871	141722780	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	149310446	149310446	chr5	149309261	149312489	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr5	167913602	167913602	chr5	167912801	167914816	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	6712344	6712344	chr6	6710495	6714062	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	20408918	20408918	chr6	20400334	20419461	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	26103176	26103176	chr6	26101180	26106260	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	42164269	42164269	chr6	42163992	42169945	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	84140037	84140037	chr6	84139279	84141919	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	130069290	130069290	chr6	130068933	130070794	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	160210060	160210060	chr6	160206892	160214144	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr6	170862335	170862335	chr6	170858287	170865560	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
chr7	135762599	135762599	chr7	135761162	135766625	H3K27AC	K562	wgEncodeBroadHistoneK562H3k27acStdAln.narrowPeak
