Search for chr	given interval low	given interval high	tfbs	tfbs low	tfbs high	refseq gene name	ucscRefSeqGene low	ucscRefSeqGene high	interval name 	hugo suymbol	entrez id	keggPathwayName
chr6	160210060	160210060	POL2_HELAS3	160209775	160210084	NM_000636	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	POL2_HELAS3	160209775	160210084	NM_001024466	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	160210060	160210060	POL2_HELAS3	160209775	160210084	NM_001024465	160124353	160214352	5D	SOD2	6648	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862176	170862506	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862176	170862506	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862205	170862514	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862205	170862514	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862211	170862504	NM_001172085	170861420	170863419	5P1	TBP	6908	hsa05016
chr6	170862335	170862335	POL2_HELAS3	170862211	170862504	NM_003194	170861420	170863419	5P1	TBP	6908	hsa05016
chr11	47600437	47600437	POL2_HELAS3	47600353	47600788	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
chr11	47600437	47600437	POL2_HELAS3	47600332	47600763	NM_004551	47598561	47600560	5P1	NDUFS3	4722	hsa05016
