Searched for chr	given interval low	given interval high	dnase overlap chrom name	node low	node high	node CellLineName	node FileName
chr1	36789545	36789545	chr1	36789440	36789589	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr1	42680326	42680326	chr1	42680320	42680469	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr1	202075668	202075668	chr1	202075560	202075709	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686340	230686489	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr1	230686472	230686472	chr1	230686360	230686509	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr2	12239781	12239781	chr2	12239640	12239789	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr2	102315056	102315056	chr2	102314920	102315069	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr2	196196133	196196133	chr2	196196040	196196189	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr3	4463007	4463007	chr3	4462940	4463089	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr3	31175500	31175500	chr3	31175400	31175549	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352860	99353009	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr3	99352911	99352911	chr3	99352880	99353029	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr4	52938242	52938242	chr4	52938160	52938309	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941040	57941189	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr4	57941159	57941159	chr4	57941060	57941209	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr4	57941699	57941699	chr4	57941640	57941789	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr4	57941699	57941699	chr4	57941680	57941829	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr5	55422680	55422680	chr5	55422640	55422789	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr5	58562464	58562464	chr5	58562320	58562469	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr5	58562464	58562464	chr5	58562340	58562489	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr5	70767268	70767268	chr5	70767120	70767269	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr5	137802403	137802403	chr5	137802260	137802409	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr5	137805651	137805651	chr5	137805640	137805789	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822820	137822969	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr5	137822865	137822865	chr5	137822820	137822969	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr6	84140037	84140037	chr6	84139980	84140129	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr6	130073290	130073290	chr6	130073160	130073309	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr6	148423370	148423370	chr6	148423340	148423489	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009300	130009449	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr7	130009352	130009352	chr7	130009320	130009469	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467380	18467529	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr8	18467518	18467518	chr8	18467400	18467549	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356340	119356489	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr8	119356465	119356465	chr8	119356380	119356529	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr8	131954651	131954651	chr8	131954580	131954729	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr10	29402288	29402288	chr10	29402200	29402349	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr10	80509969	80509969	chr10	80509820	80509969	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr11	2933064	2933064	chr11	2933060	2933209	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729800	128729949	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr11	128729844	128729844	chr11	128729840	128729989	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735520	128735669	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr11	128735665	128735665	chr11	128735540	128735689	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390600	49390749	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr12	49390676	49390676	chr12	49390620	49390769	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr12	58299249	58299249	chr12	58299200	58299349	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr13	46676194	46676194	chr13	46676080	46676229	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374240	103374389	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr13	103374376	103374376	chr13	103374320	103374469	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155580	34155729	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr14	34155697	34155697	chr14	34155620	34155769	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250600	52250749	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr14	52250689	52250689	chr14	52250620	52250769	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52325960	52326109	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr14	52326084	52326084	chr14	52325960	52326109	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr14	78335938	78335938	chr14	78335820	78335969	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964840	90964989	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr15	90964890	90964890	chr15	90964880	90965029	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr17	74519373	74519373	chr17	74519360	74519509	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr18	24638062	24638062	chr18	24638020	24638169	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr18	24638062	24638062	chr18	24638000	24638149	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769600	4769749	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr19	4769739	4769739	chr19	4769620	4769769	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr19	29606360	29606360	chr19	29606220	29606369	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
chr19	29606360	29606360	chr19	29606220	29606369	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872340	37872489	HRCE	HRCE-DS10662.peaks.fdr0.01.hg19.bed
chr21	37872446	37872446	chr21	37872340	37872489	HRCE	HRCE-DS10666.peaks.fdr0.01.hg19.bed
