Searched for chr	interval Low	interval High	tfbs node Chrom Name	node Low	node High	node Tfbs Name	node CellLineName	node FileName
chr1	202075668	202075668	chr1	202075572	202075881	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr1	202075668	202075668	chr1	202075599	202075848	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr3	44380487	44380487	chr3	44379493	44380488	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr3	44380487	44380487	chr3	44379493	44380488	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr5	167913602	167913602	chr5	167913368	167913677	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr5	167913602	167913602	chr5	167913376	167913654	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr5	167913602	167913602	chr5	167913377	167913673	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr6	84140037	84140037	chr6	84139977	84140286	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr6	84140037	84140037	chr6	84140034	84140109	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr6	160210060	160210060	chr6	160209775	160210084	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862176	170862506	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr6	170862335	170862335	chr6	170862205	170862514	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr6	170862335	170862335	chr6	170862211	170862504	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr9	115983539	115983539	chr9	115983335	115983644	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr9	115983539	115983539	chr9	115983379	115983629	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr9	115983539	115983539	chr9	115983418	115983646	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr10	13341377	13341377	chr10	13341333	13341877	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr10	13341377	13341377	chr10	13341338	13341647	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr11	35161075	35161075	chr11	35161054	35161382	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr11	47600437	47600437	chr11	47600353	47600788	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr11	47600437	47600437	chr11	47600332	47600763	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr13	111365588	111365588	chr13	111365484	111365820	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr13	111365588	111365588	chr13	111365496	111365773	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr15	90895957	90895957	chr15	90895850	90896088	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr19	49621963	49621963	chr19	49621814	49622123	POL2	HELAS3	spp.optimal.wgEncodeOpenChromChipHelas3Pol2AlnRep0_VS_wgEncodeOpenChromChipHelas3InputAln.narrowPeak
chr19	49621963	49621963	chr19	49621792	49622101	POL2	HELAS3	spp.optimal.wgEncodeSydhTfbsHelas3Pol2StdAlnRep0_VS_wgEncodeSydhTfbsHelas3InputStdAlnRep1.narrowPeak
chr19	49621963	49621963	chr19	49621867	49622061	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
chr22	18560569	18560569	chr22	18560444	18560620	POL2	HELAS3	spp.optimal.wgEncodeHaibTfbsHelas3Pol2Pcr1xAlnRep0_VS_wgEncodeHaibTfbsHelas3ControlPcr1xAlnRep0.narrowPeak
